ticker,company,title,date,source
ENGI.PA,Engie,"Offre Elec Référence 3 ans Engie : tarifs, prix du kWh, grille tarifaire - JeChange.fr",2026-01-23,JeChange.fr
ENGI.PA,Engie,"HRS, Toyota Motor Europe et ENGIE franchissent une nouvelle étape dans le ravitaillement hydrogène - JDL groupe",2026-01-26,JDL groupe
AIR.PA,Airbus,L'Airbus Beluga ST bientôt accessible au grand public : un géant du ciel s'installe au musée Aéroscopia - Air Journal,2026-01-26,Air Journal
AIR.PA,Airbus,Airbus annonce le lancement d'un satellite révolutionnaire pour l'observation de la Terre - Actu.fr,2026-01-27,Actu.fr
AIR.PA,Airbus,L'accélération des livraisons de Boeing fait bondir son chiffre d'affaires - Les Echos,2026-01-27,Les Echos
AIR.PA,Airbus,Un Airbus A380 effectue deux vols entre les États-Unis et l'Australie avant de retrouver un outil dans l'aile gauche - France 3 Régions,2026-01-27,France 3 Régions
AIR.PA,Airbus,Pénurie d’avions en Russie : les Airbus et les Boeing remplacés par des modèles de l’URSS - Capital.fr,2026-01-26,Capital.fr
AIR.PA,Airbus,Airbus : Guillaume Faury alerte sur les risques géopolitiques et le protectionnisme américain - La Tribune,2026-01-26,La Tribune
AIR.PA,Airbus,Airbus a enregistré 536 commandes nettes d'hélicoptères et livré 392 appareils en 2025 - Les Echos,2026-01-26,Les Echos
AIR.PA,Airbus,Comment Airbus ouvre la voie à la fabrication aéronautique grâce à l’impression 3D en titane - AeroMorning.com,2026-01-27,AeroMorning.com
AIR.PA,Airbus,Airbus : le premier vol de l’A350-1000 ULR approche avec la livraison des moteurs Rolls-Royce - ladepeche.fr,2026-01-26,ladepeche.fr
AIR.PA,Airbus,"Airbus, ID Logistics, Serge Ferrari...les valeurs à suivre demain à Paris - - Boursorama",2026-01-26,Boursorama
AI.PA,Air Liquide,"Air Liquide perd 0,27% - Boursier.com",2026-01-27,Boursier.com
AI.PA,Air Liquide,"Air Liquide, LVMH, Schneider Electric, Trigano... Le potentiel de 70 actions françaises vu par la rédaction du Figaro Bourse - Le Figaro Bourse",2026-01-27,Le Figaro Bourse
AI.PA,Air Liquide,AIR LIQUIDE : Peu de risque à moyen terme - Boursorama,2026-01-15,Boursorama
AI.PA,Air Liquide,"Après une année noire en 2025, la filière de l'hydrogène vert veut voir l'avenir en rose - Les Echos",2026-01-27,Les Echos
AI.PA,Air Liquide,"Air Liquide résilience opérationnelle, mais vigilance sur la tendance boursière - ABC Bourse",2026-01-13,ABC Bourse
AI.PA,Air Liquide,Finalisation de l'acquisition DIG Airgas : Air Liquide devient le leader des gaz industriels sur le marché dynamique sud-coréen - Air Liquide,2026-01-13,Air Liquide
AI.PA,Air Liquide,Action Air Liquide : est-ce le moment d’investir en 2026 ? - Cafédelabourse,2026-01-14,Cafédelabourse
AI.PA,Air Liquide,"Action Air Liquide : une année 2025 à contre-courant du CAC 40, entre turbulences de change et résilience opérationnelle - Idéal Investisseur",2025-12-31,Idéal Investisseur
